6.30E-02,-0.08,-0.08,0.08,0,-0.16,0,-0.48,0,0
6.40E-02,-0.24,-0.24,0,-0.08,-0.08,-0.16,-0.08,0.08,-0.16
6.50E-02,0,-0.16,-0.16,-0.16,-0.16,-0.08,-0.16,0,0
6.60E-02,-0.08,-0.24,-0.08,-0.16,-0.08,-0.08,-0.32,0.08,0.08
6.70E-02,-0.08,-0.08,-0.08,0,0.24,-0.08,-0.16,-0.08,0.08
6.80E-02,-0.08,-0.16,0,-0.16,-0.08,-0.16,-0.16,0.08,0.16
6.90E-02,-0.4,-0.08,-0.08,-0.24,-0.08,-0.08,-0.4,-0.08,0.08
7.00E-02,-0.08,-0.16,0.24,-0.24,-0.08,-0.16,-0.08,0,-0.08
7.10E-02,-0.08,-0.48,-0.08,0,-0.08,-0.16,-0.24,0.16,0
7.20E-02,-0.24,-0.08,-0.16,-0.16,-0.08,-0.16,-0.08,0,-0.08
7.30E-02,0.24,-0.08,-0.16,-0.08,-0.08,-0.16,-0.24,0.08,-0.08
7.40E-02,-0.16,-0.16,-0.08,-0.16,0,-0.16,-0.16,0,-0.16
7.50E-02,-0.16,-0.08,-0.08,0.88,0,-0.16,-0.16,0.16,-0.16
7.60E-02,-0.08,-0.08,-0.08,-0.08,-0.4,-0.16,0,0,0
7.70E-02,-0.08,-0.16,-0.08,0.08,-0.48,-0.08,0.16,0.08,0
7.80E-02,0.16,-0.32,0,0,-0.24,-0.08,-0.4,0,-0.08
7.90E-02,-0.16,-0.08,-0.16,-0.16,-0.24,-0.16,-0.4,0,-0.08
8.00E-02,0,-0.08,0,-0.16,-0.24,-0.32,-0.24,0.08,-0.16
8.10E-02,-0.08,-0.32,0,-0.16,0,0.16,0,0,0.4
8.20E-02,-0.24,-0.24,0,-0.08,-0.08,-0.24,0.08,-0.08,-0.08
8.30E-02,-0.08,-0.16,-0.08,0,0,-0.16,-0.4,0.08,-0.16
8.40E-02,0.08,0,-0.16,0.08,-0.08,-0.16,0,-0.32,-0.16
8.50E-02,0,-0.24,-0.08,0,0,-0.16,-0.08,-0.08,-0.08
8.60E-02,0,-0.24,-0.24,-0.24,0.56,0,-0.16,0.08,-0.16
8.70E-02,0.08,0,-0.08,-0.16,-0.48,0,0,0,-0.08
8.80E-02,0.08,0,-0.08,-0.16,-0.16,-0.24,-0.24,0,-0.32
8.90E-02,0.08,0.08,-0.08,-0.16,-0.16,-0.24,-0.16,0.08,-0.24
9.00E-02,0.08,-0.32,0,-0.16,-0.08,-0.08,-0.24,0,0
9.10E-02,0.16,0,-0.16,-0.16,0.16,0,-0.24,-0.16,-0.16
9.20E-02,0.16,0,0,-0.16,0,-0.08,-0.24,-0.08,-0.16
9.30E-02,0.24,0.08,-0.16,-0.16,-0.32,-0.16,-0.08,0,-0.16
9.40E-02,0.4,0.08,-0.08,-0.08,-0.08,-0.24,-0.32,0.08,-0.16
9.50E-02,0.16,0,0,-0.16,0.16,-0.08,-0.08,-0.08,-0.16
9.60E-02,0.24,0.24,-0.24,-0.24,0.24,-0.16,-0.16,-0.08,0
9.70E-02,0.24,0.4,-0.24,-0.08,0.16,-0.08,-0.08,0.08,-0.08
9.80E-02,0.32,0.08,0,-0.08,-0.16,-0.08,-0.16,-0.08,0
9.90E-02,0.16,0.16,-0.08,-0.08,-0.08,-0.08,-0.16,-0.16,-0.4
1.00E-01,0.32,0.24,-0.08,-0.48,0,0.08,-0.24,0,-0.16
1.01E-01,0.24,0.4,0.08,-0.4,0.4,-0.08,-0.16,0,-0.08
1.02E-01,0.8,0.24,-0.16,-0.16,0,-0.16,-0.16,0,-0.16
1.03E-01,0.24,0.48,0,-0.24,0,-0.16,-0.16,0.16,-0.16
1.04E-01,0.24,0.32,-0.08,-0.16,-0.16,-0.16,-0.16,0,-0.24
1.05E-01,0.16,0.4,-0.24,-0.16,-0.16,0.4,-0.16,0.08,-0.08
1.06E-01,0.24,0.4,0,-0.16,-0.48,-0.16,0.08,0,0
1.07E-01,0.16,0.4,-0.08,-0.24,-0.16,-0.08,-0.16,0,-0.16
1.08E-01,0.32,0.56,0,-0.24,-0.08,-0.16,-0.16,-0.16,-0.16
1.09E-01,-0.4,0.4,-0.16,-0.24,0.08,0.16,-0.16,0.08,-0.16
1.10E-01,0.24,0.8,-0.08,-0.08,-0.08,0,0.08,-0.24,-0.08
1.11E-01,0.32,0.48,-0.24,-0.16,-0.08,-0.08,-0.08,-0.08,-0.16
1.12E-01,0.32,0.48,-0.08,-0.16,-0.16,0,-0.08,0,-0.16
1.13E-01,0.4,0.48,-0.16,-0.16,0.08,-0.16,-0.08,0.08,-0.24
1.14E-01,0.4,0.56,0,-0.24,0.08,-0.16,-0.24,-0.08,-0.16
1.15E-01,0.24,0.64,0,-0.24,0,-0.08,-0.08,-0.08,-0.08
1.16E-01,0.16,0.64,0,-0.08,-0.08,-0.16,-0.16,-0.08,-0.16
1.17E-01,0.24,0.48,-0.08,-0.16,0,-0.16,-0.16,0,-0.16
1.18E-01,0.32,0.56,0,-0.32,-0.08,-0.16,-0.16,-0.16,-0.16
1.19E-01,0.4,0.72,-0.08,-0.16,-0.08,-0.08,-0.08,0,-0.24
1.20E-01,0.24,0.56,-0.08,-0.16,0,0,0,-0.08,-0.08
1.21E-01,0.24,0.56,-0.16,0.08,0,-0.08,-0.08,-0.24,-0.08
1.22E-01,0.24,0.64,0,-0.16,-0.08,-0.08,0,-0.16,0
1.23E-01,0.32,0.32,-0.16,-0.16,0,0,0.16,-0.16,0
1.24E-01,0.08,0.48,-0.08,-0.16,-0.08,-0.08,0.08,-0.08,-0.08
1.25E-01,0.24,0.48,-0.08,-0.24,-0.16,-0.08,0.16,0.08,-0.24
1.26E-01,0,0.64,-0.16,-0.24,0.4,-0.24,0.4,0,0.08
1.27E-01,-0.4,0.48,-0.16,-0.16,-0.08,-0.08,0.24,-0.08,-0.24
1.28E-01,-0.16,0.64,0,-0.16,-0.08,-0.24,-0.32,0,-0.24
1.29E-01,0.24,0.32,-0.08,-0.32,-0.08,-0.08,0.32,-0.16,-0.24
1.30E-01,0.16,0.64,0,-0.32,-0.08,-0.16,0.4,0.16,-0.08
1.31E-01,0.24,0.48,0.16,-0.16,-0.16,-0.08,0.4,0.08,-0.08
1.32E-01,0.32,0.56,-0.08,-0.24,0,-0.16,0.08,0.16,-0.08
1.33E-01,0.24,0.56,-0.08,-0.08,-0.08,-0.16,0.48,0.16,-0.08
1.34E-01,0.16,0.88,0.16,-0.32,-0.08,-0.08,0.4,-0.16,-0.08
1.35E-01,0.08,0.64,0.16,-0.32,-0.24,-0.08,0.64,0,-0.32
1.36E-01,0.16,0.48,-0.16,-0.24,0,0,0.48,0,-0.08
1.37E-01,0.24,0.56,-0.16,-0.32,0.08,0,0.4,0.16,-0.08
1.38E-01,0.24,0.48,0,-0.32,-0.08,-0.16,0.4,0,-0.16
1.39E-01,0.48,0.48,-0.16,-0.16,0,-0.08,0.48,0.24,-0.24
1.40E-01,0.16,0.64,0.16,-0.32,0,-0.08,0.64,0,-0.16
1.41E-01,0.4,0.64,-0.16,-0.24,0.08,0,0.56,0,-0.16
1.42E-01,0.32,0.4,0,-0.56,0.16,-0.08,0.48,0.08,-0.08
1.43E-01,0.24,0.4,0.08,-0.32,-0.16,-0.4,0.56,-0.24,-0.08
1.44E-01,0,0.72,-0.08,-0.16,0.08,-0.24,0.64,-0.08,-0.08
1.45E-01,0.08,0.56,-0.16,-0.32,-0.32,0,0.32,0,-0.16
1.46E-01,0.08,0.48,-0.08,-0.32,-0.08,-0.08,0.72,-0.24,0
1.47E-01,0.24,0.48,-0.08,-0.32,-0.16,0,0.56,-0.08,0.08
1.48E-01,0.16,0.4,-0.08,-0.32,0,-0.16,0.48,-0.08,-0.08
1.49E-01,0.4,0.32,-0.08,-0.32,0.08,-0.08,0.4,0.08,-0.16
1.50E-01,-0.16,0.32,0.24,-0.4,-0.08,-0.08,0.4,-0.08,-0.08
1.51E-01,0,0.32,-0.08,-0.32,-0.08,-0.16,0.4,0,0
